team,logo_url
Major League Baseball,https://a.espncdn.com/combiner/i?img=/i/teamlogos/leagues/500/mlb.png&h=100&w=100
USA Baseball,https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/usa.png&h=100&w=100
Arizona Diamondbacks,https://www.mlbstatic.com/team-logos/team-cap-on-dark/109.svg
Atlanta Braves,https://www.mlbstatic.com/team-logos/team-cap-on-dark/144.svg
Baltimore Orioles,https://www.mlbstatic.com/team-logos/team-cap-on-dark/110.svg
Boston Red Sox,https://www.mlbstatic.com/team-logos/team-cap-on-dark/111.svg
Chicago Cubs,https://www.mlbstatic.com/team-logos/team-cap-on-dark/112.svg
Chicago White Sox,https://www.mlbstatic.com/team-logos/team-cap-on-dark/145.svg
Cincinnati Reds,https://www.mlbstatic.com/team-logos/team-cap-on-dark/113.svg
Cleveland Guardians,https://www.mlbstatic.com/team-logos/team-cap-on-dark/114.svg
Colorado Rockies,https://www.mlbstatic.com/team-logos/team-cap-on-dark/115.svg
Detroit Tigers,https://www.mlbstatic.com/team-logos/team-cap-on-dark/116.svg
Houston Astros,https://www.mlbstatic.com/team-logos/team-cap-on-dark/117.svg
Kansas City Royals,https://www.mlbstatic.com/team-logos/team-cap-on-dark/118.svg
Los Angeles Angels,https://www.mlbstatic.com/team-logos/team-cap-on-dark/108.svg
Los Angeles Dodgers,https://www.mlbstatic.com/team-logos/team-cap-on-dark/119.svg
Miami Marlins,https://www.mlbstatic.com/team-logos/team-cap-on-dark/146.svg
Milwaukee Brewers,https://www.mlbstatic.com/team-logos/team-cap-on-dark/158.svg
Minnesota Twins,https://www.mlbstatic.com/team-logos/team-cap-on-dark/142.svg
New York Mets,https://www.mlbstatic.com/team-logos/team-cap-on-dark/121.svg
New York Yankees,https://www.mlbstatic.com/team-logos/team-cap-on-dark/147.svg
Oakland Athletics,https://www.mlbstatic.com/team-logos/team-cap-on-dark/133.svg
Philadelphia Phillies,https://www.mlbstatic.com/team-logos/team-cap-on-dark/143.svg
Pittsburgh Pirates,https://www.mlbstatic.com/team-logos/team-cap-on-dark/134.svg
San Diego Padres,https://www.mlbstatic.com/team-logos/team-cap-on-dark/135.svg
San Francisco Giants,https://www.mlbstatic.com/team-logos/team-cap-on-light/137.svg
Seattle Mariners,https://www.mlbstatic.com/team-logos/team-cap-on-dark/136.svg
St Louis Cardinals,https://www.mlbstatic.com/team-logos/team-cap-on-dark/138.svg
Tampa Bay Rays,https://www.mlbstatic.com/team-logos/team-cap-on-dark/139.svg
Texas Rangers,https://www.mlbstatic.com/team-logos/team-cap-on-dark/140.svg
Toronto Blue Jays,https://www.mlbstatic.com/team-logos/team-cap-on-dark/141.svg
Washington Nationals,https://www.mlbstatic.com/team-logos/team-cap-on-dark/120.svg
Hyannis Harbor Hawks,https://images.ctfassets.net/iiozhi00a8lc/1IHPJY8Li66jwAAHcdTESn/058ffcb949ec7935649865689a4b791a/HawksLogo__1_.png
National Basketball Association,https://a.espncdn.com/combiner/i?img=/i/teamlogos/leagues/500/nba.png&h=100&w=100
Atlanta Hawks,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/atl.png&h=100&w=100
Charlotte Hornets,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/cha.png&h=100&w=100
Chicago Bulls,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/chi.png&h=100&w=100
Indiana Pacers,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/ind.png&h=100&w=100
Los Angeles Clippers,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/lac.png&h=100&w=100
Los Angeles Lakers,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/lal.png&h=100&w=100
Miami Heat,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/mia.png&h=100&w=100
New York Knicks,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/ny.png&h=100&w=100
Oklahoma City Thunder,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/okc.png&h=100&w=100
Orlando Magic,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/orl.png&h=100&w=100
Phoenix Suns,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/phx.png&h=100&w=100
Sacramento Kings,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/sac.png&h=100&w=100
San Antonio Spurs,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/sa.png&h=100&w=100
Utah Jazz,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/utah.png&h=100&w=100
Washington Wizards,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/wsh.png&h=100&w=100
Los Angeles Sparks,https://a.espncdn.com/combiner/i?img=/i/teamlogos/wnba/500/la.png&h=100&w=100
Minnesota Lynx,https://a.espncdn.com/combiner/i?img=/i/teamlogos/wnba/500/min.png&h=100&w=100
Phoenix Mercury,https://a.espncdn.com/combiner/i?img=/i/teamlogos/wnba/500/phx.png&h=100&w=100
National Football League,https://a.espncdn.com/combiner/i?img=/i/teamlogos/leagues/500/nfl.png&h=100&w=100
Arizona Cardinals,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/ari.png&h=100&w=100
Buffalo Bills,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/buf.png&h=100&w=100
Cleveland Browns,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/cle.png&h=100&w=100
Dallas Cowboys,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/dal.png&h=100&w=100
