"Player","Team","Age","Position","Games","Starts","Minutes","Attempted.Passes","Successful.Passes","Key.Passes","Assists","Crosses","Long.Balls","Through.Balls"
"Riyad Mahrez","Leicester",25,"AM(CLR)",33,32,2710,894,648,50,11,26,46,13
"Mousa Demb_l_","Tottenham",28,"M(CLR),FW",26,24,2006,1253,1127,23,0,0,34,0
"Dimitri Payet","West Ham",29,"D(C),M(CLR),FW",26,25,2222,1118,897,99,8,75,73,5
"Mesut …zil","Arsenal",27,"M(CLR),FW",31,31,2701,1990,1720,130,18,81,43,16
"Alexis S‡nchez","Arsenal",27,"M(CLR),FW",25,23,2006,1185,950,52,4,10,65,10
"Virgil van Dijk","Southampton",24,"D(C)",30,30,2700,1221,1007,9,0,0,105,0
"N'Golo Kant_","Leicester",25,"DMC",33,29,2660,1284,1046,26,4,3,63,3
"Nicol‡s Otamendi","Manchester City",28,"D(C)",26,26,2312,1303,1099,5,0,0,78,0
"Harry Kane","Tottenham",22,"AM(C),FW",33,33,2920,845,619,40,1,3,40,0
"Jamie Vardy","Leicester",29,"AM(L),FW",34,34,2960,588,385,48,6,10,14,0
"Santi Cazorla","Arsenal",31,"D(C),M(CLR),FW",14,14,1205,1149,1038,36,3,14,49,4
"Jordan Amavi","Aston Villa",22,"D(L)",10,9,836,370,292,7,2,5,19,0
"Christian Eriksen","Tottenham",24,"M(CLR),FW",30,28,2492,1542,1244,102,10,39,66,3
"Laurent Koscielny","Arsenal",30,"D(CL),DMC",28,28,2397,1422,1237,8,0,0,73,0
"Christian Fuchs","Leicester",30,"D(CL),M(L)",28,26,2350,1039,747,31,4,22,81,0
"Ross Barkley","Everton",22,"M(CL)",33,32,2794,1620,1397,53,7,23,92,7
"Kevin De Bruyne","Manchester City",24,"AM(CLR),FW",22,19,1734,1005,786,70,9,37,44,4
"Sergio AgŸero","Manchester City",27,"AM(CL),FW",26,25,2040,624,534,21,2,3,13,0
"Luke Shaw","Manchester United",20,"D(L)",5,5,450,271,233,4,1,5,13,1
"Vincent Kompany","Manchester City",30,"D(CL),DMC",13,12,1089,630,525,3,0,0,51,0
"Andros Townsend","Newcastle United",24,"AM(LR)",8,7,648,203,162,20,2,14,2,0
"Yaya Tour_","Manchester City",32,"D(C),M(CR),FW",28,26,2160,1694,1475,42,5,3,98,11
"David Silva","Manchester City",30,"D(C),M(CLR),FW",23,21,1745,1343,1159,67,11,30,51,5
"Gabriel Paulista","Arsenal",25,"D(C)",18,16,1543,1006,908,2,0,0,31,0
"Philippe Coutinho","Liverpool",23,"M(CLR),FW",21,20,1699,878,683,38,5,8,34,8
"Ga‘l Clichy","Manchester City",30,"D(CL)",12,10,908,590,487,11,1,7,25,0
"Idrissa Gueye","Aston Villa",26,"D(C),M(C)",31,31,2718,1668,1423,28,1,3,84,0
"Ramiro Funes Mori","Everton",25,"D(C)",26,22,2051,1157,972,5,1,3,96,0
"Dele Alli","Tottenham",20,"M(CL)",31,26,2308,1017,765,46,9,3,25,6
"Yohan Cabaye","Crystal Palace",30,"D(C),M(CR)",30,29,2502,1158,957,48,1,42,87,0
"Danny Rose","Tottenham",25,"D(CL)",20,20,1780,878,683,20,3,10,42,2
"Manuel Lanzini","West Ham",23,"AM(CR)",21,18,1486,832,747,25,1,6,21,0
"Jan Kirchhoff","Sunderland",25,"D(CL),DMC",11,10,795,424,298,8,0,0,31,0
