Receiver,Team,Age,Pos,G,GS,Tgt,Rec,Ctch.,Yds,Y.R,TD,Lng,R.G,Y.G,Fmb
A.J. Green,CIN,27,WR,16,16,132,86,65.20%,1297,15.1,10,80,5.4,81.1,1
Aaron Dobson,NWE,24,WR,8,3,21,13,61.90%,141,10.8,0,24,1.6,17.6,0
Aaron Ripkowski,GNB,23,,15,0,1,1,100.00%,18,18,0,18,0.1,1.2,0
Adam Humphries,TAM,22,,13,0,40,27,67.50%,260,9.6,1,27,2.1,20,0
Adam Thielen,MIN,25,WR,16,2,18,12,66.70%,144,12,0,30,0.8,9,0
Adrian Peterson,MIN,30,RB,16,16,36,30,83.30%,222,7.4,0,49,1.9,13.9,7
Ahmad Bradshaw,IND,29,,6,0,14,10,71.40%,64,6.4,3,10,1.7,10.7,0
Akeem Hunt,HOU,22,RB,7,1,10,6,60.00%,39,6.5,0,27,0.9,5.6,0
Albert Wilson,KAN,23,WR,14,12,57,35,61.40%,451,12.9,2,44,2.5,32.2,0
Alfred Blue,HOU,24,RB,15,9,16,15,93.80%,109,7.3,1,21,1,7.3,2
Alfred Morris,WAS,27,RB,16,16,13,10,76.90%,55,5.5,0,12,0.6,3.4,0
Allen Hurns,JAX,24,WR,15,14,105,64,61.00%,1031,16.1,10,80,4.3,68.7,2
Allen Robinson,JAX,22,WR,16,16,151,80,53.00%,1400,17.5,14,90,5,87.5,0
Alshon Jeffery,CHI,25,WR,9,8,94,54,57.40%,807,14.9,4,50,6,89.7,1
Amari Cooper,OAK,21,WR,16,15,130,72,55.40%,1070,14.9,6,68,4.5,66.9,1
Ameer Abdullah,DET,22,RB,16,9,38,25,65.80%,183,7.3,1,36,1.6,11.4,5
Andre Caldwell,DEN,30,,14,0,22,10,45.50%,72,7.2,2,24,0.7,5.1,0
Andre Ellington,ARI,26,DB/RB,10,3,24,15,62.50%,148,9.9,0,32,1.5,14.8,1
Andre Holmes,OAK,27,WR,16,1,33,14,42.40%,201,14.4,4,49,0.9,12.6,0
Andre Johnson,IND,34,WR,16,14,77,41,53.20%,503,12.3,4,35,2.6,31.4,0
Andre Roberts,WAS,27,,9,0,21,11,52.40%,135,12.3,0,38,1.2,15,0
Andre Williams,NYG,23,,16,0,3,1,33.30%,7,7,0,7,0.1,0.4,0
Andrew Hawkins,CLE,29,WR,8,8,43,27,62.80%,276,10.2,0,25,3.4,34.5,1
Andrew Quarless,GNB,27,TE,5,1,5,4,80.00%,31,7.8,0,13,0.8,6.2,0
Andrew Turzilli,TEN,NA,,3,0,2,2,100.00%,25,12.5,0,18,0.7,8.3,0
Anquan Boldin,SFO,35,WR,14,13,111,69,62.20%,789,11.4,4,51,4.9,56.4,1
Anthony Dixon,BUF,28,RB,16,1,7,6,85.70%,44,7.3,0,14,0.4,2.8,0
Anthony Fasano,TEN,31,TE,16,11,42,26,61.90%,289,11.1,2,33,1.6,18.1,0
Anthony Sherman,KAN,27,FB,16,2,5,4,80.00%,34,8.5,0,18,0.3,2.1,0
Antonio Andrews,TEN,24,RB,14,10,29,21,72.40%,174,8.3,0,23,1.5,12.4,1
Antonio Brown,PIT,27,WR,16,16,193,136,70.50%,1834,13.5,10,59,8.5,114.6,3
Antonio Gates,SDG,35,TE,11,4,85,56,65.90%,630,11.3,5,40,5.1,57.3,0
Arian Foster,HOU,29,RB,4,4,28,22,78.60%,227,10.3,2,32,5.5,56.8,2
Asante Cleveland,NWE,23,TE,4,1,1,1,100.00%,1,1,0,1,0.3,0.3,0
Austin Johnson,NOR,26,FB,10,1,8,5,62.50%,30,6,0,12,0.5,3,0
Austin Seferian-Jenkins,TAM,23,TE,7,3,39,21,53.80%,338,16.1,4,43,3,48.3,0
B.J. Daniels,2TM,26,,8,0,2,2,100.00%,18,9,0,12,0.3,2.3,0
Ben Edwards,NYG,23,,2,0,2,1,50.00%,9,9,0,9,0.5,4.5,0
Ben Watson,NOR,35,TE,16,16,110,74,67.30%,825,11.1,6,46,4.6,51.6,1
Bennie Fowler,DEN,24,WR,16,1,25,16,64.00%,203,12.7,0,41,1,12.7,0
Benny Cunningham,STL,25,RB,16,1,36,26,72.20%,250,9.6,0,42,1.6,15.6,1
Bernard Pierce,JAX,24,,7,0,5,3,60.00%,7,2.3,0,6,0.4,1,0
Bilal Powell,NYJ,27,FB/RB,11,2,63,47,74.60%,388,8.3,2,25,4.3,35.3,2
Bishop Sankey,TEN,23,RB,13,3,22,14,63.60%,139,9.9,1,30,1.1,10.7,2
Blake Bell,SFO,24,TE,14,5,25,15,60.00%,186,12.4,0,48,1.1,13.3,0
Bobby Rainey,TAM,28,,16,0,3,3,100.00%,16,5.3,0,8,0.2,1,8
Bradley Marquez,STL,NA,WR,16,1,22,13,59.10%,88,6.8,0,14,0.8,5.5,1
Branden Oliver,SDG,24,RB,8,1,15,13,86.70%,112,8.6,0,17,1.6,14,0
Brandin Cooks,NOR,22,WR,16,13,129,84,65.10%,1138,13.5,9,71,5.3,71.1,1
Brandon Bolden,NWE,25,RB,15,2,30,19,63.30%,180,9.5,2,63,1.3,12,0
Brandon Coleman,NOR,23,WR,16,3,49,30,61.20%,454,15.1,2,31,1.9,28.4,0
Brandon LaFell,NWE,29,WR,11,7,74,37,50.00%,515,13.9,0,54,3.4,46.8,0
Brandon Marshall,NYJ,31,WR,16,16,173,109,63.00%,1502,13.8,14,69,6.8,93.9,3
Brandon Myers,TAM,30,FB/TE,11,6,17,12,70.60%,127,10.6,0,17,1.1,11.5,0
Brandon Pettigrew,DET,30,TE,8,8,15,7,46.70%,67,9.6,1,21,0.9,8.4,0
Brandon Tate,CIN,28,,16,0,3,2,66.70%,59,29.5,1,55,0.1,3.7,1
Brent Celek,PHI,30,TE,16,13,35,27,77.10%,398,14.7,3,60,1.7,24.9,1
Brenton Bersin,CAR,25,WR,9,2,11,9,81.80%,119,13.2,0,30,1,13.2,1
Brian Hartline,CLE,29,WR,12,4,77,46,59.70%,523,11.4,2,41,3.8,43.6,1
Brian Leonhardt,SFO,25,,4,0,1,1,100.00%,4,4,0,4,0.3,1,0
Brian Parker,KAN,23,,9,0,2,1,50.00%,6,6,0,6,0.1,0.7,0
Brian Quick,STL,26,WR,13,3,32,10,31.30%,102,10.2,0,37,0.8,7.8,0
Brice Butler,DAL,25,WR,7,2,26,12,46.20%,258,21.5,0,67,1.7,36.9,0
Brittan Golden,ARI,27,,16,0,1,1,100.00%,5,5,0,5,0.1,0.3,1
Bruce Ellington,SFO,24,,13,0,19,13,68.40%,153,11.8,0,44,1,11.8,3
Bruce Miller,SFO,28,FB,16,5,14,10,71.40%,135,13.5,0,52,0.6,8.4,0
Bryan Walters,JAX,28,WR,11,1,45,32,71.10%,368,11.5,1,31,2.9,33.5,0
C.J. Anderson,DEN,24,RB,15,5,36,25,69.40%,183,7.3,0,27,1.7,12.2,2
C.J. Fiedorowicz,HOU,24,TE,16,14,24,17,70.80%,167,9.8,1,25,1.1,10.4,1
C.J. Spiller,NOR,28,RB,13,2,44,34,77.30%,239,7,2,80,2.6,18.4,1
C.J. Uzomah,CIN,22,,5,0,1,1,100.00%,4,4,0,4,0.2,0.8,0
Calvin Johnson,DET,30,WR,16,16,149,88,59.10%,1214,13.8,9,57,5.5,75.9,1
Cameron Artis-Payne,CAR,25,,7,0,5,5,100.00%,58,11.6,0,20,0.7,8.3,0
Cameron Brate,TAM,24,TE,14,4,30,23,76.70%,288,12.5,3,46,1.6,20.6,0
Cameron Meredith,CHI,23,,11,0,16,11,68.80%,120,10.9,0,22,1,10.9,0
Carlos Hyde,SFO,24,RB,7,7,15,11,73.30%,53,4.8,0,11,1.6,7.6,1
Cecil Shorts,HOU,28,WR,11,4,75,42,56.00%,484,11.5,2,42,3.8,44,2
Chandler Worthy,HOU,22,,3,0,4,3,75.00%,14,4.7,0,12,1,4.7,1
Charcandrick West,KAN,24,RB,15,9,34,20,58.80%,214,10.7,1,80,1.3,14.3,1
Charles Clay,BUF,26,TE,13,13,77,51,66.20%,528,10.4,3,40,3.9,40.6,1
Charles Johnson,MIN,26,WR,11,4,13,9,69.20%,127,14.1,0,35,0.8,11.5,0
Charles Sims,TAM,25,,16,0,70,51,72.90%,561,11,4,56,3.2,35.1,2
Chase Coffman,2TM,29,,2,0,11,8,72.70%,71,8.9,1,16,4,35.5,0
Chris Conley,KAN,23,WR,16,5,31,17,54.80%,199,11.7,1,44,1.1,12.4,0
Chris Givens,2TM,26,,15,6,54,20,37.00%,353,17.7,1,48,1.3,23.5,0
Chris Gragg,BUF,25,TE,13,4,20,12,60.00%,150,12.5,0,29,0.9,11.5,0
Chris Harper,NWE,22,,5,0,3,1,33.30%,6,6,0,6,0.2,1.2,1
Chris Hogan,BUF,27,WR,16,4,59,36,61.00%,450,12.5,2,46,2.3,28.1,0
Chris Ivory,NYJ,27,RB,15,14,37,30,81.10%,217,7.2,1,36,2,14.5,4
Chris Johnson,ARI,30,RB,11,9,13,6,46.20%,58,9.7,0,40,0.5,5.3,2
Chris Matthews,2TM,26,,13,0,25,13,52.00%,151,11.6,1,21,1,11.6,0
Chris Owusu,NYJ,25,WR,3,2,13,6,46.20%,80,13.3,0,43,2,26.7,0
Chris Polk,HOU,26,RB,15,2,28,16,57.10%,109,6.8,1,12,1.1,7.3,0
Chris Thompson,WAS,25,,13,0,48,35,72.90%,240,6.9,2,23,2.7,18.5,2
